movie_id,title,tags
38220,Ek Niranjan,romance action drama a bounty hunter searches for the family he was separated from as a child  and falls in love with the sister of a gang member. prabhas kanganaranaut sonusood purijagannadh te
256040,Bāhubali: The Beginning,action adventure drama fantasy the young shivudu is left as a foundling in a small village by his mother. by the time he’s grown up  it has become apparent that he possesses exceptional gifts. he meets the beautiful warrior princess avanthika and learns that her queen has been held captive for the last 25 years. shividu sets off to rescue her  discovering his own origins in the process. prabhas ranadaggubati tamannaahbhatia s.s.rajamouli te
176590,Mirchi,action drama a man returns to his country in order  ostensibly  to reform his girlfriend's violent family  but he seems to have a strange connection and a rather dark past. prabhas anushkashetty richagangopadhyay koratalasiva te
135870,Rebel,action after his parents are brutally murdered  a man goes on a quest to find his parents' killers. he finds that his own uncle is involved in the killings. prabhas tamannaahbhatia deekshaseth raghavalawrence te
63376,Mr. Perfect,romance comedy vicky breaks his engagement with priya  his childhood friend  after he learns that she is making many compromises for his sake. however  time makes him realise the need for compromises in life. prabhas kajalagarwal taapseepannu dasaradh te
63414,Darling,drama romance prabha prepares to meet nandini  his childhood friend  at a reunion party organised by his father. however  things take a turn when nisha  a gangster's daughter  falls in love with him. prabhas kajalagarwal shraddhadas a.karunakaran te
23766,Billa,action thriller a police inspector sends a gangster-lookalike to uncover the gang's secrets. prabhas krishnamraju anushkashetty meherramesh te
117029,Bujjigaadu: Made in Chennai,drama romance action bujji runs away from his home in his childhood because of a dispute with his girlfriend chitti. he ends up in chennai for 12 years  and the rest of the story is about how they meet now to make their love successful. prabhas trishakrishnan sanjjanaagalrani purijagannadh te
199229,Munna,action romance munna (prabhas) is a college student. his aim is to finish off mafia don kakha (prakash raj) who keeps the entire city under his grip. munna has personal vengeance to take on kakha. an honest politician srinivasa rao (kota srinivasa rao) relentlessly works to expose kakha but gets killed. meanwhile  munna’s classmate nidhi (ileana d'cruz) falls in love with him. the twist in the tale is that kakha is none other than his estranged father who tries to sell off his mother and was responsible for the death of his mother and his kid sister. another don in the city named aatma  who is the opposition of kakha (rahul dev) asks munna to join him. but munna refuses his proposal. munna starts to beat kakha and the mind game begins. kakha's second wife and son-daughter left him and join munna. after some incidents including the death of his best friend  munna finds out that aatma was working for kakha all along. prabhas ileanad'cruz prakashraj vamsipaidipally te
228092,Yogi, eeshwar chandra prasad (prabhas) is the son of ram murthy (chalapathi rao) and shantamma (sharada urvashi). ram murthy wants his son to do some job. however  shantamma pampers eeshwar very much and hence he doesn't want to leave the village. ram murthy dies and in order to fulfil his last wish  eeshwar goes to the city to earn money on the advice of his friend basha (ali)  who was a pickpocket. eeshwar could not meet basha. on the other hand kotaiah (kota srinivasa rao) runs big land mafia in hyderabad city and a bitter rival of narsing pahilwan (pradeep rawat). saidulu (subbaraju) is narsing's brother. once saidulu hacks kotaiah and his assistant  when eeshwar accidentally saves him. eeshwar gets a job in a tea stall run by chandranna (chandra mohan). he earns good money and purchases two gold bangles for his mother and plans to leave the city. prabhas nayanthara kotasrinivasarao v.v.vinayak te
226200,Pournami,drama action a dancer trains for an event where she has to perform a special dance in lord shiva's temple. but when she suddenly disappears  her younger sister chandrakala decides to learn the dance. trishakrishnan prabhas charmykaur prabhudeva te
79210,Chatrapathi,drama action sivaji and his family are uprooted from their community in sri lanka and wind up as bonded labourers in vishakhapatnam. like his legendary namesake  he rises up to become the saviour of the oppressed. prabhas shriyasaran bhanupriya s.s.rajamouli te
132437,Chakram,drama romance chakram (prabhas) is a foreign returnee and has a dream of building a hospital at pulivendula. he is in love with his colleague  lakshmi (asin thottumkal) who studied with him abroad. but leaves her half-way through after he realizes that he was struck with cancer. not wanting to tell her  he moves to hyderabad and stays in place called ‘sahara colony’. there  he tries to solve people problem's in the colony. seeing all this  another girl who is also named lakshmi (charmy) falls in love with chakram. the rest is a heart-rending saga of the cancer-struck patient's love station. prabhas asinthottumkal charmykaur pasupuletikrishnavamsi te
228096,Adavi Ramudu, madhu comes to a village in childhood here she taught a boy and tells him to be educated person.10 years later the boy ramadu(prabhas) returns to the college here he meets college most wanted sexiest woman madhu(aarthi aggarwal).madhu gots into love with him.later she reveals in her birthday party that she was the childhood girl who told him to be educated person.however madhu mother tribhuvna(telangana shakuntala) insults him and through out of her party and house.tribhuvna is a hot minded woman who can do whatever she wants either mafia or politics.she want kill ramadu.what happens then is rest of movie prabhas aarthiagarwal brahmanandam b.gopal te
82322,Varsham,drama thriller romance venkat and sailaja meet on a train and fall in love. but sailaja's father disapproves of their relationship and decides to marry her off to bhadranna  a ruthless landlord  who is obsessed with her. prabhas trishakrishnan gopichand sobhan te
202080,Raghavendra,action drama romance raghava (prabhas) is a hot-blooded and restless youth who cannot tolerate injustice that is being done in the society. in the process  he picks up fight with local mafia leader ankineedu (anandraj). ankineedu stabs sirisha (anshu) - the ladylove of raghava - to death. he also issues an ultimatum to raghava's parents to leave the city in few hours. the vexed parents ask raghava to accompany them only if he agrees to listen to their words. they take raghava to mantralayam - a relatives place - and make him become a devotee of lord raghavendra swamy. prabhas shwetaagarwal anshu sureshkrishna te
117085,Eeshwar,drama action eeshwar (telugu: ఈశ్వర్) is a 2002 telugu film directed by jayanth c. paranjee and starring prabhas[1] and sridevi vijaykumar. siva krishna and revathi played supporting roles.eeswar (prabhas) is a motherless child and brat living in dhoolpet  a slum area in old city. eeswar's father (siva krishna) manufactures gudumba (arrack) with the help of neighborhood people. eeswar falls in love at first sight when he sees a college going beauty indu (sridevi). in the meantime  eeswar's father marries sujatha (revathi)  who has been waiting for him for the past 20 years so that she can be a good mother to eeswar. eeswar hates his stepmother thinking that his father married her to enjoy worldly pleasures. meanwhile  indu's father turns out to be a local mla (ashok kumar) who hates poor. the local mla sends goons to finish him off eeswar. what follows next forms the second half of the film. prabhas sridevivijayakumar brahmanandam jayantparanji te
325699,Temper,action drama crime daya  a corrupt police officer  finds his life changing when he takes on a case of gang rape. ntr kajalagarwal prakashraj purijagannadh te
295590,Govindudu Andarivaadele,drama action balaraju  the head of his village  lives with his wife baby along with his two sons chandrasekhar rao and bangari and two daughters. he helps chandrasekhar become a doctor and builds a local hospital. on the day it opens  chandrasekhar comes back home with his lover kausalya  also a doctor. both express their wish to marry and settle abroad  which upsets balaraju  leading to their separation.  25 years later  chandrasekhar  a successful doctor in london  tells the story to his son abhiram and daughter indu. abhiram decides to go home to balaraju and attempt a reconciliation. he meets his friend  bunny  at the airport and goes to the village on bunny's bike the next day. ramcharan kajalagarwal kamalineemukherjee pasupuletikrishnavamsi te
215248,Yevadu,action thriller satya is given a different face after he suffers burn-related injuries. after being released from the hospital  he deals with the murderer of his lover deepti. but his new face has given him new foes. ramcharan shrutihaasan amyjackson vamsipaidipally te
181882,Baadshah,action comedy rama rao fails to get a job with the police force due to his father's connections with a gangster. but when his brother is killed by the gangster  rama rao becomes baadshah to oppose him. ntr kajalagarwal nassar sreenuvaitla te
182954,Naayak,action drama a young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers. ramcharan kajalagarwal amalapaul v.v.vinayak te
83889,Businessman,action crime just as the cops have declared the end of mafia in mumbai  a man named surya arrives in the city with the intentions of conquering it. maheshbabu kajalagarwal prakashraj purijagannadh te
79819,Dhada,crime drama a carefree man inadvertently frees a group of kidnapped young women from a criminal gang of traffickers and earns their wrath. his girlfriend's wealthy father arranges her wedding with an equally wealthy  but psychotic man. will the man succeed in defeating his enemies and protect his girlfriend? nagachaitanyaakkineni kajalagarwal manelsoler ajaybhuyan te
69924,Veera,action comedy drama veera venkata satyanarayana aka veera is the son of a landlord. but his step mother and step sister stay in city away from them. meanwhile  his father gets killed from a goon and veera too murders him. however  a big industrialist plans for a power project in their village and wants to vacate the entire village and takes the help of a local don rayudu. but veera halts their efforts. at this juncture  veera marries kabaddi chitti and his brother marries the daughter of commissioner of police..... raviteja kajalagarwal alibasha rameshvarma te
56981,Brindaavanam,action romance drama indu makes her boyfriend krishna act like her friend bhoomi's lover so that her family will stop searching for a groom. however  their lives takes a turn when bhoomi falls in love with krishna. ntr kajalagarwal samantharuthprabhu vamsipaidipally te
265978,Pourudu, ajay (sumanth) completes his degree and gets ready for ips examination. his father pandu (suman) works under local mafia don zakeer bhai (nassar). kasi (kota srinivasa rao) runs a rival gang in the same city opposite zakeer bhai. though pandu behaves like a goon  ajay concentrates on his studies and reaches to the stage of completing ips preliminaries. at the same time  he is an expert in martial arts. samyukta (kajal agarwal) is a student of a dance school and she falls in love with ajay. at this juncture  hussain (subbaraju) takes charge as ci and he wants to nab jakeer bhai  pandu and kasi but could not do so due to their political influence. sumanth kajalagarwal brahmanandam  te
258351,Aatadista,action comedy drama jagan alias chinna is industrialist lion rajendra's jobless son. he falls in love with sunanda. meanwhile he suggests that his father and his rival raghunath get into a partnership to double up their efficiency. without his knowledge his marriage is fixed to raghunath's daughter  who obviously turns out to be sunanda  but the families are not on great terms even after they fix the match. raghunath is dealing in tobacco businesses that is actually owned by bonala shankar  a brusque and notorious mla. rajendra doesn't want to deal in that area  but bonala threatens the board of directors too. now jagan has to deal with this corrupt politico and plays a game with him that shakes him from his very roots-spreads a rumor that he hit shankar. nithiin kajalagarwal raghuvaran a.s.ravikumarchowdary te
23790,Magadheera,action when harsha  a bike stunter from vishakapatnam  accidentally meets indu  he discovers his warrior life kala bhairava in his last birth. the remaining story explains how indu and kala bhairava are connected. ramcharan kajalagarwal devgill s.s.rajamouli te
199994,Sarocharu,drama comedy sandhya (kajal aggarwal) is a student who is madly in love with karthik (ravi teja)  a techie based in italy. she decides to travel with him to india  confident that the travel time would be enough for her to get karthik to fall in love. karthik reciprocates her gestures in a friendly way  but finally reveals that he is married to vasudha (richa gangopadhyay) but is waiting to seek divorce. raviteja kajalagarwal richagangopadhyay parasurampetla te
120956,Rachcha,action drama romance a betting teenager  raj gets involved in a larger bet than he had imagined to earn 2 million rupees for his father's treatment. will he be able to save his father? ramcharan tamannaahbhatia ajmalameer sampathnandi te
57734,Orange,comedy romance a young man falls in love with a girl but has to keep lying to make her happy. unable to continue  he tells her that it cannot go on and breaks up with her. ramcharan geneliad'souza prabhu bhaskar te
84504,Chirutha,action romance drama a young man with a tragic past meets the daughter of a rich man and falls in love  while trying to avenge the death of his father. ramcharan nehasharma brahmanandam purijagannadh te
253513,Heart Attack,romance action a romantic drama which aims to allure the urban crowd  stars nithiin reddy and adah sharma. with a tagline `i need one hour kiss to burn 300 calories` - that suggests the film is high on romantic quotient nithiin adahsharma vikramjeetvirk purijagannadh te
197999,Iddarammayilatho,action romance a young woman becomes embroiled in a financial and political conspiracy while studying in spain  as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary. alluarjun amalapaul catherinetresa purijagannadh te
138667,Cameraman Ganga Tho Rambabu,drama action ganga  a camerawoman  helps rambabu  a fiery mechanic  become a journalist. when rana  an evil politician  kills a journalist  rambabu decides to destroy his political career. pawankalyan tamannaahbhatia brahmanandam purijagannadh te
199544,Devudu Chesina Manushulu,action comedy fantasy the movie opens with lord vishnu (bramhanandam) trying to pacify lakshmi devi (kovai sarala)  who is quite disappointed after listening to words of narada that lord vishnu didn't gave any present to lakshmi devi on the eve of her birthday (akshaya tritiya). lord vishnu shows a love story between 2 orphans ravi teja (ravi teja)  a settlement broker in hyderabad and ileana (ileana d'cruz)  a taxi driver living in bangkok. raviteja ileanad'cruz prakashraj purijagannadh te
82909,Nenu Naa Rakshasi,action drama abhi (rana) is a sharp shooter and a professional killer  who murders for money. meenakshi (ileana) who works in a coffee shop  has a dark side to her. she shoots the final moments of people wishing to end their lives and uploads those videos on the internet. ranadaggubati ileanad'cruz manelsoler purijagannadh te
63469,Golimaar,action thriller crime gangaram (gopichand)  an orphan raised by m.s. narayana always craves to be a police officer and he becomes one. his intensity  dedication and straight forwardness gains him respect from his seniors and soon he starts running a cell that specializes in killing the gang members of two gangs – talwar gang and khaled gang. how does this honest police officer try to get on top of these gangs forms the rest of the story. gopichand priyamani rojaselvamani purijagannadh te
137452,Neninthe,action drama ravi (ravi teja) is an aspiring film director who works as an assistant director to idly vishwanath (brahmanandam). mallik (subba raju) is the hero of the film and mumaith (mumaith khan) is the heroine for the project. sandhya (siya)  the film's junior artiste  falls in love with ravi. but ravi is goal oriented like kamal hasan in sagarasangamam.  also  ravi's mother (rama prabha) is fighting against cancer. amidst all this  how ravi reaches his goal by impressing heroes and producers with his talent forms the main theme. krishna bhagawan portrays the role of a villain alongside supreet. raviteja siyagautham subbaraju purijagannadh te
117058,Desamuduru,action romance after bala  who works for a tv channel  gets into trouble with a goon  he is sent away for an out-of-town assignment. there he meets and falls in love with a girl who gets kidnapped by a gangster. alluarjun hansikamotwani pradeepramsinghrawat purijagannadh te
23381,Pokiri,action thriller crime pandu is a ruthless contract killer and sruthi falls in love with him after a few meetings but hesitates to confess her love to him as he is a reckless criminal. though a goon  pandu also has certain rigid principles that leads to an enmity with ali bhai - the biggest mafia don in the town. maheshbabu ileanad'cruz prakashraj purijagannadh te
148839,Super, sonu  his sister  sasha  and their friend  akhil  live a poor lifestyle in india. while sasha has given her heart to akhil  he treats her as a close friend and confidant. times get so tough  that the trio conspire to carry out robberies  and end up doing so - quite successfully  eluding the authorities. when sashs finds out that akhil does not love her  she threatens to kill herself and misunderstandings break out between the three. subsequently  they part ways  and a short time later sonu is informed that sasha is dead. years later  a young woman  dr. sri vidya  enters sonu's life and he befriends her and her dad  so much so that he even aids them financially. nagarjunaakkineni ayeshatakia anushkashetty purijagannadh te
307746,Andhrawala, shankar  leader of a labour union  is killed by a mafia don. his son munna  who is raised by the slum dwellers  is unaware of his past. however  his enemies identify him and attempt to kill him. ntr rakshita sayajishinde purijagannadh te
80921,Badri,romance drama family vennela accuses badri of not loving her sincerely and challenges him that no one can love him like she does. however  their lives take a turn when he meets sarayu and she falls madly in love with him. pawankalyan ameeshapatel renudesai purijagannadh te
224947,Nijam,action a young man is guided by his mother in a methodical manner to avenge his father against the perpetrators who falsely accused and killed him. maheshbabu gopichand rakshita teja te
